"cost_scheme","replicate","pvalue","time_inconsistency","signif","ratio","event","number_events"
"d1_t8_l1",33,0.003996,19,TRUE,0,"cospeciation",9
"d1_t8_l1",33,0.003996,19,TRUE,0,"transfer",0
"d1_t8_l1",33,0.003996,19,TRUE,0,"duplication",11
"d1_t8_l1",33,0.003996,19,TRUE,0,"loss",48
"d1_t8_l1",34,0.008991,18,TRUE,0.125,"cospeciation",8
"d1_t8_l1",34,0.008991,18,TRUE,0.125,"transfer",1
"d1_t8_l1",34,0.008991,18,TRUE,0.125,"duplication",11
"d1_t8_l1",34,0.008991,18,TRUE,0.125,"loss",41
"d1_t8_l1",35,0.001998,8,TRUE,0,"cospeciation",10
"d1_t8_l1",35,0.001998,8,TRUE,0,"transfer",0
"d1_t8_l1",35,0.001998,8,TRUE,0,"duplication",10
"d1_t8_l1",35,0.001998,8,TRUE,0,"loss",42
"d1_t8_l1",36,0.076923,19,FALSE,0.222222222222222,"cospeciation",9
"d1_t8_l1",36,0.076923,19,FALSE,0.222222222222222,"transfer",2
"d1_t8_l1",36,0.076923,19,FALSE,0.222222222222222,"duplication",9
"d1_t8_l1",36,0.076923,19,FALSE,0.222222222222222,"loss",43
"d1_t8_l1",37,0.006993,46,TRUE,0,"cospeciation",7
"d1_t8_l1",37,0.006993,46,TRUE,0,"transfer",0
"d1_t8_l1",37,0.006993,46,TRUE,0,"duplication",13
"d1_t8_l1",37,0.006993,46,TRUE,0,"loss",48
"d1_t8_l1",38,0.015984,19,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",38,0.015984,19,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",38,0.015984,19,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",38,0.015984,19,TRUE,0.111111111111111,"loss",46
"d1_t8_l1",39,0.031968,49,TRUE,0,"cospeciation",7
"d1_t8_l1",39,0.031968,49,TRUE,0,"transfer",0
"d1_t8_l1",39,0.031968,49,TRUE,0,"duplication",13
"d1_t8_l1",39,0.031968,49,TRUE,0,"loss",52
"d1_t8_l1",40,0.005994,19,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",40,0.005994,19,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",40,0.005994,19,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",40,0.005994,19,TRUE,0.111111111111111,"loss",43
"d1_t8_l1",41,0.123876,20,FALSE,0.222222222222222,"cospeciation",9
"d1_t8_l1",41,0.123876,20,FALSE,0.222222222222222,"transfer",2
"d1_t8_l1",41,0.123876,20,FALSE,0.222222222222222,"duplication",9
"d1_t8_l1",41,0.123876,20,FALSE,0.222222222222222,"loss",44
"d1_t8_l1",42,0.004995,20,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",42,0.004995,20,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",42,0.004995,20,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",42,0.004995,20,TRUE,0.111111111111111,"loss",41
"d1_t8_l1",43,0.000999,8,TRUE,0,"cospeciation",10
"d1_t8_l1",43,0.000999,8,TRUE,0,"transfer",0
"d1_t8_l1",43,0.000999,8,TRUE,0,"duplication",10
"d1_t8_l1",43,0.000999,8,TRUE,0,"loss",40
"d1_t8_l1",44,0.020979,32,TRUE,0,"cospeciation",8
"d1_t8_l1",44,0.020979,32,TRUE,0,"transfer",0
"d1_t8_l1",44,0.020979,32,TRUE,0,"duplication",12
"d1_t8_l1",44,0.020979,32,TRUE,0,"loss",50
