"cost_scheme","replicate","pvalue","cospeciation","transfer","duplication","loss","time_inconsistency","signif","ratio"
"d4_t1_l1",39,0.629371,3,16,1,0,13,FALSE,5.33333333333333
"d4_t1_l1",40,0.609391,4,15,1,1,12,FALSE,3.75
"d4_t1_l1",41,0.145854,2,18,0,0,15,FALSE,9
"d4_t1_l1",42,0.654346,4,15,1,0,7,FALSE,3.75
"d4_t1_l1",43,0.839161,4,14,2,0,13,FALSE,3.5
"d4_t1_l1",44,0.663337,2,17,1,0,16,FALSE,8.5
"d4_t1_l1",45,0.080919,4,16,0,1,13,FALSE,4
"d4_t1_l1",46,0.594406,3,16,1,0,14,FALSE,5.33333333333333
"d4_t1_l1",47,0.623377,3,16,1,0,13,FALSE,5.33333333333333
"d4_t1_l1",48,0.862138,5,13,2,0,7,FALSE,2.6
"d4_t1_l1",49,0.167832,2,18,0,0,15,FALSE,9
"d4_t1_l1",50,0.495504,4,15,1,0,13,FALSE,3.75
